id,month,main,sub,minor,date,importance,title,body,remember,statics,source
1,7,A,RBI & Monetary Policy,Repo Rate / Reverse Repo,Jul 8,3,"RBI conducts ₹25,000 crore Variable Rate Repo auction",RBI held an overnight VRR auction to inject short-term liquidity into the banking system and align money market rates with policy.,"Overnight tenor, funds return July 9|Bidding window 9:30-10:00 AM under LAF|Eligible: scheduled commercial banks & primary dealers","Notified amount ₹25,000 crore|System liquidity surplus ~₹1.19 lakh crore (as of Jul 6)",RBI
2,7,A,Digital Banking & Payments,BBPS,Jul 2026,3,IDFC FIRST Bank goes live with EPFO PF payment services,IDFC FIRST Bank became the private bank authorised by EPFO to let employers pay statutory PF contributions directly via its internet banking platforms.,First private bank integrated for PF payments on EPFO Unified Portal|Employers can pay via Retail/Corporate Internet Banking,EPFO founded 1952|HQ New Delhi|Chairman: Dr. Mansukh Mandaviya,EPFO / IDFC FIRST Bank
3,7,B,Committees & Appointments,Regulatory Appointments,Jul 2026,3,RBI approves N.S. Vishwanathan's reappointment as Axis Bank chairman,RBI approved a fresh three-year term for N.S. Vishwanathan as Axis Bank's Non-Executive Part-time Chairman.,"Term: Oct 27, 2026 to Oct 26, 2029|Former RBI Deputy Governor (retired 2020)|Chairman since Oct 2023","Axis Bank founded 1993, HQ Mumbai|MD & CEO: Amitabh Chaudhry",RBI / Axis Bank
4,7,A,Banking Schemes,AIF,Jul 2026,4,Government issues ₹1.55 lakh crore in guarantees under ECLGS 5.0,The Emergency Credit Line Guarantee Scheme 5.0 has issued over 4 lakh credit guarantees to support businesses hit by the West Asia crisis.,"Approved by Union Cabinet on May 5, 2026|Administered by NCGTC|98% of guarantees by number went to MSMEs","Guarantees issued: 4,11,497|Guaranteed amount: ₹1,55,229 crore|Overall credit target: ₹2.55 lakh crore",Ministry of Finance
5,7,A,Banking Schemes,AIF,May 5,4,Key features of the Emergency Credit Line Guarantee Scheme (ECLGS) 5.0,"ECLGS 5.0 offers tiered (not uniform) guarantee coverage to MSMEs, non-MSMEs and the airline sector, valid for loans sanctioned till March 2027.","100% cover for MSMEs, 90% for non-MSMEs/airlines|5-yr tenor (1-yr moratorium) for MSMEs; 7-yr tenor (2-yr moratorium) for airlines|Zero guarantee fee for lending institutions","Additional credit target ₹2,55,000 crore incl. ₹5,000 crore for airlines|Interest capped at 9% (banks/FIs), 13% (NBFCs)|Valid till March 31, 2027",Union Cabinet / NCGTC
6,7,B,Infrastructure Projects,Ports & Corridors,Jul 2026,3,POWERGRID secures JPY 80 billion green loan from JBIC,Japan Bank for International Cooperation is funding POWERGRID's Khavda-Nagpur HVDC transmission line that evacuates renewable power from Gujarat to Maharashtra.,Funds Khavda-Nagpur HVDC transmission project|Supports India's 500 GW renewable target by 2030|Part of India-Japan POWERR Asia initiative,"Loan size: JPY 80 billion (~₹4,700 crore)",POWERGRID / JBIC
7,7,A,Banking Schemes,AIF,Jul 2026,3,TPG-led consortium to acquire Aseem Infrastructure Finance from NIIF,"A consortium of TPG, GIC and ICICI Bank is buying out NIIF's full stake in Aseem Infrastructure Finance, a green-infra NBFC founded in 2020.","TPG to hold 65%, GIC 25%, ICICI Bank up to 5%, rest for ESOPs|NIIF and minority holders (Govt of India, SMBC) fully exiting",Stake acquired: 100%|Aseem Infrastructure Finance founded: 2020,NIIF / TPG
8,7,C,Global Organizations,UNESCO programs,2025-26,3,Nepal's Jestha Varna Mahavihar wins 2025 UNESCO Asia-Pacific Heritage Award,The 17th-century Buddhist monastery in Nepal received the Award of Merit after post-earthquake restoration carried out with India's grant assistance.,Category: Award of Merit|Handover ceremony held in Lalitpur|India provided restoration grant assistance,Monastery age: 17th century,UNESCO
9,7,B,Government Reports / Index,Global Innovation Index,2026,2,Global Citizen Solutions publishes the Global Passport Index (GPI) 2026,"The Global Passport Index ranks passports using mobility, investment and quality-of-living indicators, distinct from the Henley Index's pure travel-access approach.",Published annually by Global Citizen Solutions (GCS)|Uses 14 indicators across 3 pillars,"Pillars: Enhanced Mobility (50%), Investment (25%), Quality of Living (25%)",Global Citizen Solutions
10,7,B,Government Reports / Index,Human Development Index,2026,3,India ranks 125th in the Global Passport Index 2026,"India slipped one spot from 2025 to rank 125th of 197 countries, trailing in mobility but improving on investment and quality-of-living sub-indices.","Down from 124th (2025)|Ranked behind Namibia (124th), ahead of Azerbaijan (126th)","India: 136th in Mobility, 94th in Investment, 118th in Quality of Living|Visa-free/on-arrival access to 26 destinations",Global Citizen Solutions
11,7,B,Government Reports / Index,Global Innovation Index,2026,3,Sweden tops the Global Passport Index 2026,"Sweden claimed the world's strongest passport title with a composite score of 96.05, followed by Switzerland, Finland and Germany.","Top 10 also includes Netherlands, Denmark, Ireland, UK, Norway, Singapore|Afghanistan ranked lowest",Sweden's score: 96.05/100|Afghanistan's score: 23.10,Global Citizen Solutions
12,7,D,Defence & Space Highlights,ISRO missions,Jul 2026,2,China launches marine satellite HY-2E to replace HY-2B,"China's oceanographic satellite HY-2E was launched on a Long March 4B rocket to monitor ocean waves, winds and temperature for disaster prevention.",Launched from Jiuquan Satellite Launch Center|Built by China Academy of Space Technology (CAST)|Replaces the HY-2B satellite,China's 47th space mission of 2026|654th Long March rocket flight,CAST / Chinese state media
13,7,E,Sports Highlights,International tournaments,Jun 27-Jul 5,2,Thailand hosts the 2026 U15 & U20 Asian Wrestling Championships,"Pattaya, Thailand hosted the combined U15 and U20 Asian Wrestling Championships where Indian wrestlers won a large medal haul.","Event held in Pattaya, Thailand","Duration: June 27 - July 5, 2026",Wrestling Federation of India
14,7,E,Sports Highlights,International tournaments,Jun 27-Jul 5,3,India wins 41 medals at 2026 U15 & U20 Asian Wrestling Championships,"India's combined U15 and U20 contingents won 41 medals in Pattaya, with notable golds from Prathmesh, Naitik, Harshad Keshav and Disha Shokeen.","U20: 20 medals (4G,7S,9B)|U15: 21 medals (8G,6S,7B)|Golds included Vivek Chouhan, Samruddhi Satish Patil, Vinakshi",Total medals: 41,Wrestling Federation of India
15,7,G,Culture & Awards Highlights,National awards,Jul 7,3,'Bridge Man of India' Girish Bharadwaj passes away at 76,"Girish Bharadwaj, honoured with the Padma Shri in 2017 for building low-cost suspension footbridges in remote villages, died in Sullia, Karnataka.",Also called 'Sethu Bandhu'|Built first 55-metre footbridge in 1989 over the Payaswini River,Padma Shri year: 2017|Age at death: 76,PIB / News reports
16,7,B,Government Schemes,Infrastructure Programs,Jul 2026,2,Delhi launches Mission Kayakalp to upgrade government school infrastructure,"The scheme aims to modernise classrooms, repair buildings, improve labs and washrooms, and make campuses more inclusive and green.","Implemented with district administrations, CSR partners and local communities|Focus also on accessibility for children with special needs",-,Delhi Government / Education Dept
17,7,B,Government Schemes,SMILE Scheme,Jul 2026,2,UP launches Vishwakarma Shram Samman Yojana for traditional artisans,"The scheme gives artisans free skill training, a toolkit grant and concessional collateral-free loans to boost their livelihoods.","6-day free skill training|Covers tailoring, carpentry, pottery and other trades","Toolkit grant: ₹10,000|Loan up to ₹10 lakh (collateral-free)",UP State Government
